MANUFACTURER,LOCATION OF COMPANY,MODEL,OPERATING SYSTEM,MSRP,ISDISCONTINUED
Apple,United States,iPhone XS Max,iOS,1099,N
Samsung,South Korea,Galaxy Note 9,Android,1000,N
LG,South Korea,G7 ThinQ,Android,750,N
Nokia,Finland,Nokia 8.1,Android,400,N
Microsoft,United States,Lumia 650 XL,Windows 10 Mobile,350,Y
Blackberry,Canada,KEY2,Android,650,N
Motorola,United States,Motorola One,Android,399,N
OnePlus,China,OnePlus 6T,Android,549,N
HTC,Taiwan,U12+,Android,799,N
Huawei,China,Mate 20 X,Android,799,N
Oppo,China,A7,Android,225,N
Sony,Japan,Xperia XZ2,Android,799,Y
Asus,Taiwan,ROG Gaming,Android,899,N
Pantech,South Korea,Vybe,Pantech Proprietary,199,Y
Google,United States,Pixel 3 XL,Android,899,N
Razer,United States,Razer Phone 2,Android,800,N
Lenovo,China,Z5 Pro GT,Android,400,N
Xiaomi,China,Pocophone F1,Android,300,N
Acer,Taiwan,Liquid Z6 Plus,Android,320,Y
ZTE,China,Blade V9,Android,300,N
Apple,United States,iPhone XR,iOS,749,N
Microsoft,United States,Lumia 950 XL,Windows 10 Mobile,449,Y
Samsung,South Korea,Galaxy S9,Android,720,N
OnePlus,China,OnePlus 6,Android,529,N
Motorola,United States,Moto G6,Android,240,Y
Apple,United States,iPhone XS,iOS,999,N
Google,United States,Pixel 2 XL,Android,849,N
Google,United States,Nexus 6P,Android,499,Y
HTC,Taiwan,U Ultra,Android,749,Y
Essential,United States,Essential PH-1,Android,699,Y